Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5165861,Apartments For sale in Muruj,"5,763,000 EGP",Smouha,2,1,113,3,Extra Super Lux,Garden,2026,Installments,Broker,HUNTERZ,https://aqarmap.com.eg/en/listing/5165861-for-sale-alexandria-smouha-Muruj/
EG-5164895,Apartments For sale in Albert Al Awal St.,"10,700,000 EGP",Smouha,3,2,180,6,Extra Super Lux,Other,2027,Installments,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5164895-for-sale-alexandria-smouha-albert-al-awal-st/
EG-5137583,Apartment for sale 158 m Smouha (Orouba Skyline),"6,200,975 EGP",Smouha,3,3,158,10,Extra Super Lux,Other,2026,Cash or Installments,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5137583-for-sale-alexandria-smouha-compounds-in-smouha-skyline-residence-orouba-misr/
EG-5144224,Apartments For sale in Skyline Residence - Orouba Misr,"5,715,000 EGP",Smouha,3,1,120,8,Super Lux,Other,2016,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5144224-for-sale-alexandria-smouha-compounds-in-smouha-skyline-residence-orouba-misr/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5135755-projects-sky-line-residential/
EG-5107063,Apartments For sale in Albert Al Awal St.,"10,000,000 EGP",Smouha,3,2,180,6,Extra Super Lux,Other,2027,Installments,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5107063-for-sale-alexandria-smouha-albert-al-awal-st/
EG-5164692,شقة سكنية للبيع بمساحة 90م صافي بــــ سموحة شارع الهيلتون,"2,100,000 EGP",Smouha,3,1,90,11,Super Lux,Main Street,2009,Cash,Broker,Makank Real ESTATE,https://aqarmap.com.eg/en/listing/5164692-for-sale-alexandria-smouha/
EG-5149020,Apartment for sale 185 m Smouha (Valory Antoniades),"5,150,000 EGP",Smouha,3,2,185,9,Super Lux,Other,2020,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5149020-for-sale-alexandria-smouha-compounds-in-smouha-valore-antoniadis-compound-el-ghonimy/
EG-5164605,"Residential Unit for Sale 165 sqm in Smouha, El-Nasr Street","2,850,000 EGP",Smouha,4,2,165,4,Super Lux,Main Street,2004,Cash,Broker,Makank Real ESTATE,https://aqarmap.com.eg/en/listing/5164605-for-sale-alexandria-smouha-el-nasr-st/
EG-5070518,Apartment for sale 188 m Smouha (Abd ELtawab Hodib St.),"4,900,000 EGP",Smouha,3,2,188,2,Super Lux,Main Street,2000,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5070518-for-sale-alexandria-smouha-al-lewaa-abd-al-tawab-hadeb-st/
EG-5164674,"Apartment for Sale in One of Alexandria's Most Prestigious Areas, 80 sqm in Smouha, in front of Green Plaza","1,500,000 EGP",Smouha,2,1,80,3,Super Lux,Main Street,2012,Cash,Broker,Makank Real ESTATE,https://aqarmap.com.eg/en/listing/5164674-for-sale-alexandria-smouha-green-plaza-st/
EG-5129270,Apartment for sale 156 m Smouha (Valorie Antoniadis),"4,700,000 EGP",Smouha,3,2,156,9,Super Lux,Other,2024,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5129270-for-sale-alexandria-smouha-compounds-in-smouha-valore-antoniadis-compound-el-ghonimy/
EG-5137519,Apartments For sale in Tout Ankh Amoun St.,"8,500,000 EGP",Smouha,3,3,250,7,Extra Super Lux,Side Street,2015,Cash,Broker,Benaya,https://aqarmap.com.eg/en/listing/5137519-for-sale-alexandria-smouha-tout-ankh-amoun-st/
EG-5118253,Apartment for sale 175 m Smouha (Sayed Fahmy St),"4,200,000 EGP",Smouha,2,2,175,10,Super Lux,Main Street,2003,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5118253-for-sale-alexandria-smouha-dr-sayed-fahmy-st/
EG-5006422,للبيع من المالك مباشره,"2,100,000 EGP",Smouha,2,1,97,5,Semi Finished,Main Street,2021,Cash,Private Owner,سامي,https://aqarmap.com.eg/en/listing/5006422-for-sale-alexandria-smouha-compounds-in-smouha/
EG-5124812,شقة للبيع 220 م سموحة ( أبراج الجيش ),"11,600,000 EGP",Smouha,3,3,220,12,Extra Super Lux,Main Street,2016,Cash or Installments,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5124812-for-sale-alexandria-smouha-victor-amanoiel-square/
EG-5120328,Apartment for sale 120 M- Smouha - Tutankhamun ST.,"3,600,000 EGP",Smouha,2,1,120,13,Extra Super Lux,Main Street,2014,Cash,Broker,Benaya,https://aqarmap.com.eg/en/listing/5120328-for-sale-alexandria-smouha-tout-ankh-amoun-st/
EG-5137240,Unit for sale in Marouj Compound - Smouha - 160 full meters,"6,330,000 EGP",Smouha,3,2,160,4,Extra Super Lux,Other,2025,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/5137240-for-sale-alexandria-smouha-Muruj/
EG-5124094,Apartments For sale in El-Nasr St.,"1,900,000 EGP",Smouha,3,1,115,9,Super Lux,Main Street,2010,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5124094-for-sale-alexandria-smouha-el-nasr-st/
EG-5140276,Apartments For sale in Valore Antoniadis Compound - El Ghonimy,"4,000,000 EGP",Smouha,3,2,166,4,Semi Finished,Pool,2024,Cash,Broker,DK FOR REAL ESTATE,https://aqarmap.com.eg/en/listing/5140276-for-sale-alexandria-smouha-compounds-in-smouha-valore-antoniadis-compound-el-ghonimy/
EG-5137162,Duplex For sale in Mohammed Fawzi Moaz St.,"16,000,000 EGP",Smouha,5,4,275,2,Extra Super Lux,Main Street,2023,Installments,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5137162-for-sale-alexandria-smouha-mohammed-fawzi-moaz-st/
EG-5132496,Apartment for sale 175 m Smouha (EL Orouba Skyline),"6,500,000 EGP",Smouha,3,3,175,7,Super Lux,Other,2000,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5132496-for-sale-alexandria-smouha-compounds-in-smouha-skyline-residence-orouba-misr/
EG-5120530,Apartments For sale in Skyline Residence - Orouba Misr,"6,200,000 EGP",Smouha,3,3,160,6,Super Lux,Other,2024,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5120530-for-sale-alexandria-smouha-compounds-in-smouha-skyline-residence-orouba-misr/
EG-5117413,Apartments For sale in El-Shaheed Tayar Mahmoud Shaker Abd El-Moneim St.,"6,200,000 EGP",Smouha,6,3,300,7,Super Lux,Other,2000,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5117413-for-sale-alexandria-smouha-el-shaheed-tayar-mahmoud-shaker-abd-el-moneim-st/
EG-5120017,"Apartment for sale 165 m Smouha (Kamal El Din Salah St.) - 5,500,000 EGP","5,500,000 EGP",Smouha,3,3,165,1,Super Lux,Other,2011,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5120017-for-sale-alexandria-smouha-kamal-el-deen-salah-st/
EG-5144891,Apartments For sale in Antoniadis City Compound,"7,400,000 EGP",Smouha,3,2,190,11,Extra Super Lux,Main Street,2019,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5144891-for-sale-alexandria-smouha-compounds-in-smouha-antoniadis-city-compound/
EG-5117479,Apartments For sale in Skyline Residence - Orouba Misr,"5,662,000 EGP",Smouha,3,2,120,5,Super Lux,Main Street,2025,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5117479-for-sale-alexandria-smouha-compounds-in-smouha-skyline-residence-orouba-misr/
EG-5143432,شقة للبيع 200 م سموحة (بالقرب من فوزي معاذ ),"5,750,000 EGP",Smouha,3,3,200,10,Super Lux,Main Street,2010,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5143432-for-sale-alexandria-smouha-mohammed-fawzi-moaz-st/
EG-5118180,Apartment for sale 150m Smouha (15th of May main street),"5,700,000 EGP",Smouha,3,2,150,5,Extra Super Lux,Main Street,2015,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5118180-for-sale-alexandria-smouha-15-may-st/
EG-5134259,Apartment for sale 152 m Smouha (Orouba skyline),"7,100,000 EGP",Smouha,3,3,152,8,Super Lux,Other,2026,Cash or Installments,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5134259-for-sale-alexandria-smouha-compounds-in-smouha-skyline-residence-orouba-misr/
EG-5102290,شقة للبيع 147م سموحة كمبوند (East towers ) لطارق إسماعيل,"4,850,000 EGP",Smouha,3,2,147,11,Extra Super Lux,Main Street,2021,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5102290-for-sale-alexandria-smouha-shr-mhmd-bw-lftwh-hsb-lrydh/
EG-5135189,Apartments For sale in Albert Al Awal St.,"6,500,000 EGP",Smouha,3,1,120,2,Extra Super Lux,Main Street,2023,Installments,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5135189-for-sale-alexandria-smouha-albert-al-awal-st/
EG-5119992,Apartments For sale in Valore Antoniadis Compound - El Ghonimy,"5,600,000 EGP",Smouha,3,2,194,6,Super Lux,Other,2022,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5119992-for-sale-alexandria-smouha-compounds-in-smouha-valore-antoniadis-compound-el-ghonimy/
EG-5093022,Apartments For sale in 15 May St.,"3,300,000 EGP",Smouha,2,1,115,6,Super Lux,Main Street,2011,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5093022-for-sale-alexandria-smouha-15-may-st/
EG-5110785,Apartment for sale 90 m Smouha (Fawzy Moaz St.),"2,850,000 EGP",Smouha,2,1,90,4,Super Lux,Other,2019,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5110785-for-sale-alexandria-smouha-mohammed-fawzi-moaz-st/
EG-5092510,Apartment for sale 130 m Smouha (Sky Line),"6,000,000 EGP",Smouha,3,3,130,3,Super Lux,,2026,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5092510-for-sale-alexandria-smouha-compounds-in-smouha-skyline-residence-orouba-misr/
EG-5107269,Apartment for sale 175 m Smouha (Dr Sayed Fahmy St),"4,200,000 EGP",Smouha,2,2,175,10,Super Lux,Other,1995,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5107269-for-sale-alexandria-smouha-dr-sayed-fahmy-st/
EG-5101698,Apartment for sale 132 m Smouha (Jacaranda - Antoniades),"6,445,000 EGP",Smouha,3,2,132,8,Super Lux,Garden,2024,Cash or Installments,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5101698-for-sale-alexandria-smouha-compounds-in-smouha-antoniadis-city-compound/
EG-5108243,Apartments For sale in Valore Antoniadis Compound - El Ghonimy,"5,500,000 EGP",Smouha,3,3,213,1,Semi Finished,,2024,Cash,Broker,DK FOR REAL ESTATE,https://aqarmap.com.eg/en/listing/5108243-for-sale-alexandria-smouha-compounds-in-smouha-valore-antoniadis-compound-el-ghonimy/
EG-5107134,شقة للبيع 176م سموحة (كمبوند مروج ),"5,000,000 EGP",Smouha,3,3,176,6,Extra Super Lux,Main Street,2024,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5107134-for-sale-alexandria-smouha-Muruj/
EG-5092277,Apartment for sale 186 m Smouha (Kamal El-Deen Salah st),"6,000,000 EGP",Smouha,3,2,186,8,Super Lux,Other,1998,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5092277-for-sale-alexandria-smouha-kamal-el-deen-salah-st/
EG-5102676,Apartment for sale 176m Smouha (Mrouj Compound),"6,400,000 EGP",Smouha,3,3,176,9,Super Lux,Main Street,2024,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5102676-for-sale-alexandria-smouha-Muruj/
EG-5101831,Apartment for sale 195m Smouha (Muruj Compound),"7,500,000 EGP",Smouha,3,3,195,5,Extra Super Lux,,2024,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5101831-for-sale-alexandria-smouha-Muruj/
